user_id,source,target
-2143166050,"('lauret', 'chapter-8')","('lauret', 'chapter-11')"
-2143166050,"('lauret', 'chapter-11')","('lauret', 'chapter-11')"
-2143166050,"('lauret', 'chapter-11')","('fain2', 'about-this-book')"
-2142687959,"('infante', 'chapter-2')","('infante', 'chapter-3')"
-2141923657,"('rfeldman', 'chapter-3')","('rfeldman', 'chapter-2')"
-2141814029,"('kopec2', 'chapter-1')","('morales', 'welcome')"
-2141814029,"('morales', 'welcome')","('zai', 'welcome')"
-2141814029,"('zai', 'welcome')","('hillard', 'welcome')"
-2141814029,"('hillard', 'welcome')","('kopec2', 'chapter-2')"
-2141814029,"('kopec2', 'chapter-2')","('godsey', 'about-this-book')"
-2141814029,"('godsey', 'about-this-book')","('godsey', 'chapter-2')"
-2141814029,"('godsey', 'chapter-2')","('godsey', 'chapter-5')"
-2141814029,"('godsey', 'chapter-5')","('godsey', 'chapter-5')"
-2141814029,"('godsey', 'chapter-5')","('godsey', 'chapter-5')"
-2141814029,"('godsey', 'chapter-5')","('godsey', 'chapter-5')"
-2141814029,"('godsey', 'chapter-5')","('godsey', 'chapter-5')"
-2141814029,"('godsey', 'chapter-5')","('godsey', 'part-2')"
-2141814029,"('godsey', 'part-2')","('godsey', 'chapter-6')"
-2141814029,"('godsey', 'chapter-6')","('godsey', 'chapter-8')"
-2141814029,"('godsey', 'chapter-8')","('umali', 'chapter-5')"
-2141814029,"('umali', 'chapter-5')","('godsey', 'chapter-8')"
-2141814029,"('godsey', 'chapter-8')","('godsey', 'chapter-8')"
-2141814029,"('godsey', 'chapter-8')","('godsey', 'chapter-8')"
-2141814029,"('godsey', 'chapter-8')","('godsey', 'chapter-9')"
-2141814029,"('godsey', 'chapter-9')","('godsey', 'chapter-9')"
-2141814029,"('godsey', 'chapter-9')","('godsey', 'chapter-9')"
-2141814029,"('godsey', 'chapter-9')","('godsey', 'chapter-9')"
-2141814029,"('godsey', 'chapter-9')","('godsey', 'chapter-9')"
-2141814029,"('godsey', 'chapter-9')","('godsey', 'chapter-9')"
-2141814029,"('godsey', 'chapter-9')","('godsey', 'chapter-11')"
-2141814029,"('godsey', 'chapter-11')","('godsey', 'chapter-11')"
-2141814029,"('godsey', 'chapter-11')","('godsey', 'chapter-11')"
-2141814029,"('godsey', 'chapter-11')","('perrin', 'foreword')"
-2141814029,"('perrin', 'foreword')","('wittig', 'about-this-book')"
-2141814029,"('wittig', 'about-this-book')","('iannone', 'welcome')"
-2141733399,"('shukla', 'about-the-cover')","('harrison', 'chapter-4')"
-2141733399,"('harrison', 'chapter-4')","('shukla', 'chapter-6')"
-2141733399,"('shukla', 'chapter-6')","('shukla', 'chapter-1')"
-2141733399,"('shukla', 'chapter-1')","('shukla', 'chapter-1')"
-2141733399,"('shukla', 'chapter-1')","('shukla', 'chapter-1')"
-2141421414,"('apeltsin', 'chapter-8')","('apeltsin', 'chapter-8')"
-2141284420,"('grummitt', 'chapter-1')","('veen', 'about-this-book')"
-2141275780,"('hahn', 'about-this-book')","('nickoloff', 'chapter-1')"
-2141275780,"('nickoloff', 'chapter-1')","('nickoloff2', 'welcome')"
